Rk,Player,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO
503,Zach Dezenzo,24,HOU,19,65,62,5,15,2,0,2,8,0,0,3,22
504,Yuli Gurriel,40,KCR,18,65,54,7,13,3,0,0,6,1,0,9,15
505,Ryan Kreidler,26,DET,35,65,59,9,7,0,0,1,2,5,3,6,19
506,Esteury Ruiz,25,OAK,29,65,55,10,11,2,1,2,8,5,4,4,20
507,Pablo Reyes,30,2TM,22,64,60,5,11,2,0,0,5,1,2,3,19
507,Pablo Reyes,30,BOS,21,64,60,4,11,2,0,0,5,1,2,3,19
507,Pablo Reyes,30,NYM,1,0,0,1,0,0,0,0,0,0,0,0,0
508,Aaron Hicks#,34,LAA,18,63,57,6,8,0,0,1,5,0,0,6,23
509,David Dahl*,30,PHI,19,62,58,6,12,2,0,3,8,0,0,3,21
510,Mike Ford*,31,CIN,17,62,60,2,9,0,1,1,4,0,0,2,15
511,Drew Millas#,26,WSN,20,62,57,7,14,1,0,1,1,4,0,5,16
512,Jared Walsh*,30,TEX,17,60,53,9,12,2,0,1,7,0,0,7,21
513,Kyren Paris,22,LAA,21,59,51,4,6,2,0,1,5,1,0,7,17
514,David Hensley,28,MIA,23,58,52,9,11,1,0,1,4,1,0,6,17
515,Tyler Black*,23,MIL,18,57,49,4,10,2,0,0,2,3,0,7,17
516,Mason McCoy,29,SDP,19,57,49,7,10,2,0,0,3,1,0,5,19
517,Eguy Rosario,24,SDP,30,57,53,5,13,6,0,3,6,0,0,2,20
518,Cole Tucker#,27,LAA,24,57,50,3,9,4,1,0,3,3,1,6,17
519,Rafael Marchán#,25,PHI,17,56,51,8,15,4,0,3,6,0,0,3,8
520,Chadwick Tromp,29,ATL,19,54,52,3,13,6,0,0,6,0,0,1,17
521,Drew Romo#,22,COL,16,53,51,4,9,3,0,0,6,0,1,2,18
522,Thomas Saggese,22,STL,18,52,49,5,10,2,0,1,4,0,0,2,14
523,Luke Williams,27,ATL,34,52,46,8,9,3,0,0,4,3,0,4,13
524,Avisaíl García,33,MIA,18,51,50,4,12,1,0,2,2,0,0,1,13
525,Rece Hinds,23,CIN,24,51,46,9,12,4,1,5,11,2,0,4,16
526,Austin Shenton*,26,TBR,19,50,42,3,9,5,0,1,3,0,0,8,14
527,Luken Baker,27,STL,21,49,40,3,7,1,1,2,10,1,0,7,11
528,Billy Cook,25,PIT,16,49,49,5,11,2,0,3,8,1,0,0,19
529,Tyler Locklear,23,SEA,16,49,45,3,7,1,0,2,3,1,0,3,20
530,René Pinto,27,TBR,19,49,42,5,9,3,0,2,6,0,0,4,18
531,Ryan Vilade,25,DET,17,49,45,5,8,0,0,1,5,0,0,2,12
532,Davis Wendzel,27,TEX,27,49,47,2,6,2,0,1,2,0,0,1,12
533,David Bote,31,CHC,37,48,46,4,14,4,0,0,6,0,0,2,13
534,Gustavo Campero#,26,LAA,13,48,46,6,11,0,1,1,6,3,0,0,8
535,Jamie Westbrook,29,BOS,21,48,40,4,6,2,0,2,7,0,0,4,14
536,Jahmai Jones,26,NYY,33,47,42,8,10,1,1,1,4,1,1,2,16
537,Coby Mayo,22,BAL,17,46,41,4,4,0,0,0,0,0,0,4,22
538,Shay Whitcomb,25,HOU,20,46,41,1,9,3,0,0,5,0,0,5,8
539,Steward Berroa#,25,TOR,28,45,37,7,7,1,0,0,1,6,2,8,14
540,Yoán Moncada#,29,CHW,12,45,40,4,11,3,1,0,0,1,0,5,11
541,Justin Foscue,25,TEX,15,44,42,3,2,1,0,0,1,0,0,2,18
542,Seby Zavala,30,SEA,18,43,39,4,6,2,0,1,2,0,0,3,16
543,Eli White,30,ATL,35,42,39,9,11,1,1,1,4,3,1,1,12
544,Nick Yorke,22,PIT,11,42,37,4,8,0,0,2,5,2,0,4,12
545,Luisangel Acuña,22,NYM,14,40,39,6,12,2,1,3,6,0,1,1,6
546,Jonathan Ornelas,24,TEX,18,40,37,1,8,2,0,0,3,0,0,2,13
547,Jhonny Pereda,28,MIA,20,40,39,2,9,0,0,0,4,0,0,0,10
548,Johnathan Rodríguez,24,CLE,13,40,31,6,4,1,0,0,5,0,0,9,14
549,Armando Alvarez,29,OAK,16,39,37,7,9,1,0,0,2,1,0,2,8
550,Zach Remillard,30,CHW,15,39,33,3,8,1,1,0,1,1,0,5,10
551,Jordyn Adams,24,LAA,11,38,35,4,8,0,0,1,4,2,0,3,12
552,Oscar Colás*,25,CHW,13,38,33,1,9,0,0,0,4,0,1,4,10
553,Tom Murphy,33,SFG,13,38,34,3,4,1,0,1,2,0,0,4,14
554,Blake Sabol*,26,SFG,11,38,32,3,10,2,0,0,1,0,0,5,9
555,Logan Driscoll*,26,TBR,15,37,35,2,6,0,0,1,5,0,0,1,6
556,David Villar,27,SFG,11,37,35,3,9,4,0,1,4,0,0,1,13
557,Joey Wendle*,34,NYM,18,37,36,3,8,1,0,0,1,1,0,1,9
558,Adael Amador#,21,COL,10,36,35,1,6,1,0,0,0,1,0,1,6
559,Javier Sanoja,21,MIA,15,36,35,3,8,2,0,0,2,0,0,1,4
560,Forrest Wall*,28,2TM,16,35,32,4,8,0,0,0,1,4,3,3,8
560,Forrest Wall*,28,ATL,13,32,29,3,7,0,0,0,1,3,3,3,6
560,Forrest Wall*,28,MIA,3,3,3,1,1,0,0,0,0,1,0,0,2
561,Aledmys Díaz,33,2TM,14,34,33,2,3,0,0,0,1,0,0,1,9
561,Aledmys Díaz,33,OAK,12,30,29,2,3,0,0,0,1,0,0,1,7
561,Aledmys Díaz,33,HOU,2,4,4,0,0,0,0,0,0,0,0,0,2
562,Niko Goodrum#,32,2TM,13,33,29,2,3,0,0,0,0,1,1,3,10
562,Niko Goodrum#,32,TBR,9,18,16,1,3,0,0,0,0,0,1,1,6
562,Niko Goodrum#,32,LAA,4,15,13,1,0,0,0,0,0,1,0,2,4
563,Nacho Alvarez Jr.,21,ATL,8,32,30,1,3,0,0,0,0,0,0,0,10
564,Travis Blankenhorn*,27,WSN,13,32,31,2,4,1,0,0,5,0,0,1,9
565,Graham Pauley*,23,SDP,13,32,32,4,4,0,0,2,5,0,0,0,15
566,César Salazar*,28,HOU,12,32,25,5,8,2,0,0,8,0,0,2,6
567,Luis De Los Santos,26,TOR,13,31,29,2,5,2,0,0,1,0,0,2,10
568,Tristan Gray*,28,2TM,15,31,28,0,3,1,0,0,0,0,0,3,16
568,Tristan Gray*,28,MIA,7,7,7,0,0,0,0,0,0,0,0,0,3
568,Tristan Gray*,28,OAK,8,24,21,0,3,1,0,0,0,0,0,3,13
569,Jason Vosler*,30,SEA,10,30,28,2,5,1,1,0,3,0,0,2,9
570,Trenton Brooks*,28,SFG,12,29,25,3,3,0,0,0,1,1,0,4,6
571,Blake Dunn,25,CIN,19,29,26,8,4,1,0,1,1,2,0,2,11
572,Ehire Adrianza#,34,LAA,8,28,26,4,5,1,0,1,2,0,0,2,11
573,Alexander Canario,24,CHC,15,28,25,4,7,1,0,1,2,1,0,2,11
574,Charles Leblanc,28,LAA,11,28,21,6,4,0,0,2,6,0,0,7,9
575,Billy McKinney*,29,PIT,10,28,25,4,5,1,0,0,2,0,0,2,13
576,Matt Mervis*,26,CHC,9,28,26,1,3,1,0,0,3,0,0,1,8
577,Joey Wiemer,25,2TM,21,28,26,2,4,0,0,0,0,1,1,2,9
577,Joey Wiemer,25,MIL,19,27,26,2,4,0,0,0,0,1,1,1,9
577,Joey Wiemer,25,CIN,2,1,0,0,0,0,0,0,0,0,0,1,0
578,Keston Hiura,27,LAA,10,27,27,1,4,0,0,0,1,0,1,0,10
579,Owen Miller,27,MIL,14,27,27,2,5,1,0,0,3,0,0,0,8
580,Cal Stevenson*,27,PHI,18,27,24,2,6,3,0,0,6,0,0,3,4
581,Jace Peterson*,34,ARI,14,26,22,2,1,0,0,0,1,0,0,3,6
582,Buddy Kennedy,25,2TM,14,26,21,3,4,1,0,1,6,1,0,4,7
582,Buddy Kennedy,25,DET,6,13,10,2,2,0,0,1,4,1,0,2,4
582,Buddy Kennedy,25,PHI,8,13,11,1,2,1,0,0,2,0,0,2,3
583,Grae Kessinger,26,HOU,22,25,21,4,0,0,0,0,0,0,0,3,7
584,Donovan Walton*,30,SFG,9,25,22,3,3,0,0,1,2,0,0,2,7
585,Mickey Gasper#,28,BOS,13,23,18,1,0,0,0,0,0,0,0,4,8
586,Pedro León,26,HOU,7,21,20,2,2,0,0,0,0,2,0,1,10
587,Austin Wynns,33,CIN,7,20,19,3,7,4,0,0,2,0,0,0,5
588,Isaac Collins#,26,MIL,11,19,17,0,2,0,0,0,0,1,0,2,10
589,Jason Delay,29,PIT,7,19,15,1,3,3,0,0,6,0,0,3,0
590,Drew Waters#,25,KCR,7,19,16,2,3,1,0,0,1,0,0,2,6
591,Jorge Barrosa#,23,ARI,8,18,17,3,3,2,0,0,1,1,0,0,2
592,Bubba Thompson,26,CIN,17,18,18,5,2,1,0,0,0,5,0,0,11
593,Rafael Ortega*,33,CHW,14,17,14,4,1,0,0,0,1,2,0,2,4
594,Brett Sullivan*,30,SDP,7,17,16,1,3,0,0,1,2,0,0,1,4
595,Sam Haggerty#,30,SEA,8,16,15,1,1,0,0,0,1,1,0,1,4
596,Tyler Heineman#,33,2TM,7,16,12,2,1,0,0,0,0,0,0,3,6
596,Tyler Heineman#,33,BOS,2,3,2,0,0,0,0,0,0,0,0,0,1
596,Tyler Heineman#,33,TOR,5,13,10,2,1,0,0,0,0,0,0,3,5
597,Liván Soto*,24,2TM,13,16,13,1,3,1,0,0,0,0,0,3,3
597,Liván Soto*,24,CIN,1,3,3,0,0,0,0,0,0,0,0,0,1
597,Liván Soto*,24,BAL,12,13,10,1,3,1,0,0,0,0,0,3,2
598,Kameron Misner*,26,TBR,8,15,15,0,1,0,0,0,0,0,0,0,10
599,Carlos Narváez,25,NYY,6,15,13,0,3,0,0,0,0,0,0,2,6
600,Jakson Reetz,28,SFG,6,15,14,1,2,1,0,1,1,0,0,1,5
601,Ryan McKenna,27,2TM,13,15,14,4,3,0,0,2,2,1,1,1,5
601,Ryan McKenna,27,BAL,9,9,8,3,3,0,0,2,2,0,1,1,1
601,Ryan McKenna,27,SFG,4,6,6,1,0,0,0,0,0,1,0,0,4
602,Darren Baker*,25,WSN,9,14,14,1,7,2,0,0,0,0,0,0,3
603,Hunter Feduccia*,27,LAD,5,14,12,2,4,0,0,0,1,0,0,2,2
604,DaShawn Keirsey Jr.*,27,MIN,6,14,13,1,2,0,0,1,1,0,0,0,1
605,Luis Vázquez,24,CHC,11,14,12,2,1,0,0,0,1,0,0,0,6
606,Brandon Lockridge,27,SDP,12,12,12,4,2,0,0,1,1,2,0,0,4
607,Bryce Teodosio,25,LAA,5,12,12,1,1,0,0,0,0,0,0,0,5
608,Eddy Alvarez*,34,NYM,12,11,9,2,0,0,0,0,0,0,0,1,2
609,Levi Jordan,28,CIN,7,11,10,1,1,1,0,0,1,0,0,0,3
610,Oswald Peraza,24,NYY,4,11,10,2,2,0,0,1,1,0,0,1,3
611,Kevin Alcántara,21,CHC,3,10,10,1,1,0,0,0,0,0,0,0,1
612,Matt Duffy,33,TEX,4,10,7,2,2,0,0,0,0,0,0,2,1
613,Michael Helman,28,MIN,9,10,10,2,3,2,0,0,0,0,0,0,3
614,Tony Kemp*,32,BAL,5,10,9,1,0,0,0,0,0,0,0,1,1
615,J.P. Martínez*,28,ATL,7,10,10,2,2,1,0,0,0,1,0,0,4
616,Liover Peguero,23,PIT,3,10,10,0,2,1,0,0,2,0,0,0,3
617,Edwin Ríos*,30,CIN,5,10,9,1,1,0,0,0,0,0,0,1,4
618,Rob Brantly*,34,TBR,3,9,9,0,1,0,0,0,0,0,0,0,2
619,Vinny Capra,27,MIL,3,9,9,1,1,1,0,0,0,0,0,0,3
620,David Fletcher,30,ATL,5,9,8,0,2,0,0,0,2,0,0,0,1
621,Cade Marlowe*,27,SEA,8,9,8,1,2,0,0,0,0,0,0,1,1
622,CJ Alexander*,27,KCR,4,8,8,0,1,0,0,0,0,0,0,0,3
623,Conner Capel*,27,CIN,5,8,8,1,2,0,0,0,0,1,0,0,2
624,Diego Castillo,26,MIN,4,8,6,3,2,1,0,0,2,0,0,2,1
625,Cooper Hummel#,29,HOU,6,8,8,0,0,0,0,0,0,1,0,0,2
626,Grant Koch,27,PIT,3,8,7,1,0,0,0,0,0,0,0,1,6
627,Taylor Trammell*,26,2TM,10,8,7,2,1,0,0,0,0,0,0,1,3
627,Taylor Trammell*,26,LAD,5,6,6,0,0,0,0,0,0,0,0,0,3
627,Taylor Trammell*,26,NYY,5,2,1,2,1,0,0,0,0,0,0,1,0
628,Jair Camargo,24,MIN,5,7,6,1,0,0,0,0,0,0,0,1,3
629,Aramis Garcia,31,PHI,3,7,7,0,0,0,0,0,0,0,0,0,3
630,Dustin Harris*,24,TEX,2,7,6,1,2,1,0,1,3,0,0,1,2
631,Stone Garrett,28,WSN,2,6,5,2,3,1,0,1,3,0,0,1,0
632,Greg Jones#,26,COL,6,6,5,1,1,0,0,1,1,0,0,1,4
633,Andrew Knapp#,32,SFG,3,6,6,0,1,0,0,0,0,0,0,0,2
634,Brian Anderson,31,ATL,3,5,5,0,0,0,0,0,0,0,0,0,2
635,Sandro Fabian,26,TEX,3,5,5,0,0,0,0,0,0,0,0,0,0
636,Tyler Gentry,25,KCR,3,5,5,0,0,0,0,0,0,0,0,0,2
637,Brewer Hicklen,28,MIL,3,5,5,0,0,0,0,0,0,1,0,0,4
638,Nick Maton*,27,BAL,5,5,5,0,0,0,0,0,0,0,0,0,2
639,Samad Taylor,25,SEA,3,5,5,2,2,0,0,0,0,0,0,0,1
640,Duke Ellis*,26,2TM,11,5,5,1,1,0,0,0,0,5,0,0,2
640,Duke Ellis*,26,CHW,8,4,4,1,0,0,0,0,0,4,0,0,2
640,Duke Ellis*,26,NYY,3,1,1,0,1,0,0,0,0,1,0,0,0
641,José Devers*,24,MIA,3,4,4,1,1,0,0,0,0,0,0,0,1
642,Sam Huff,26,TEX,3,4,3,0,0,0,0,0,0,0,0,1,2
643,Myles Straw,29,CLE,7,4,4,2,1,0,0,0,0,2,0,0,0
644,Matthew Batten,29,SDP,1,3,3,0,1,0,1,0,0,0,0,0,0
645,Orelvis Martínez,22,TOR,1,3,3,0,1,0,0,0,0,0,0,0,1
646,David Bañuelos,27,BAL,1,1,1,0,0,0,0,0,0,0,0,0,0
647,Luis Castillo,31,SEA,1,1,1,0,0,0,0,0,0,0,0,0,1
648,Daniel Johnson*,28,BAL,1,1,1,1,0,0,0,0,0,0,0,0,0
649,Scott McGough,34,ARI,2,1,1,0,0,0,0,0,0,0,0,0,1
650,Chris Roller,27,MIL,1,1,1,0,0,0,0,0,0,0,0,0,1
651,Eric Yang,26,CIN,1,1,1,0,0,0,0,0,0,0,0,0,1
652,Chase Anderson,36,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0
653,Pedro Avila,27,CLE,1,0,0,0,0,0,0,0,0,0,0,0,0
654,Mike Baumann,28,2TM,2,0,0,0,0,0,0,0,0,0,0,0,0
654,Mike Baumann,28,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0
654,Mike Baumann,28,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0
655,Jalen Beeks*,30,COL,2,0,0,0,0,0,0,0,0,0,0,0,0
656,Brennan Bernardino*,32,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0
657,John Brebbia*,34,CHW,1,0,0,0,0,0,0,0,0,0,0,0,0
658,Jhony Brito,26,SDP,1,0,0,0,0,0,0,0,0,0,0,0,0
659,Kris Bubic*,26,KCR,1,0,0,0,0,0,0,0,0,0,0,0,0
660,Génesis Cabrera*,27,TOR,1,0,0,0,0,0,0,0,0,0,0,0,0
661,Isaiah Campbell,26,BOS,2,0,0,0,0,0,0,0,0,0,0,0,0
662,Danny Coulombe*,34,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0
663,Jeff Criswell,25,COL,1,0,0,0,0,0,0,0,0,0,0,0,0
664,Fernando Cruz#,34,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0
665,Alexis Díaz,27,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0
666,Edwin Díaz,30,NYM,1,0,0,0,0,0,0,0,0,0,0,0,0
667,Jake Diekman,37,NYM,1,0,0,0,0,0,0,0,0,0,0,0,0
668,Seranthony Domínguez,29,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0
669,Mason Englert#,24,DET,1,0,0,0,0,0,0,0,0,0,0,0,0
670,Buck Farmer*,33,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0
671,Ryan Fernandez,26,STL,2,0,0,0,0,0,0,0,0,0,0,0,0
672,Kyle Finnegan,32,WSN,1,0,0,0,0,0,0,0,0,0,0,0,0
673,Jason Foley,28,DET,1,0,0,0,0,0,0,0,0,0,0,0,0
674,Kyle Freeland*,31,COL,2,0,0,0,0,0,0,0,0,0,0,0,0
675,Luis Frías,26,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0
676,Hunter Gaddis,26,CLE,1,0,0,0,0,0,0,0,0,0,0,0,0
677,Kevin Ginkel*,30,ARI,2,0,0,0,0,0,0,0,0,0,0,0,0
678,Chad Green*,33,TOR,1,0,0,0,0,0,0,0,0,0,0,0,0
679,Josh Hader*,30,HOU,3,0,0,0,0,0,0,0,0,0,0,0,0
680,Seth Halvorsen,24,COL,1,0,0,0,0,0,0,0,0,0,0,0,0
681,Hunter Harvey,29,KCR,1,0,0,0,0,0,0,0,0,0,0,0,0
682,Jonathan Heasley,27,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0
683,Ryan Helsley,29,STL,2,0,0,0,0,0,0,0,0,0,0,0,0
684,Kevin Herget*,33,MIL,1,0,0,0,0,0,0,0,0,0,0,0,0
685,Jonathan Hernández,27,TEX,1,0,0,0,0,0,0,0,0,0,0,0,0
686,Porter Hodge,23,CHC,1,0,0,0,0,0,0,0,0,0,0,0,0
687,Spencer Howard,27,CLE,1,0,0,0,0,0,0,0,0,0,0,0,0
688,Joe Hudson,33,NYM,1,0,0,0,0,0,0,0,0,0,0,0,0
689,Kenley Jansen#,36,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0
690,Bryce Jarvis*,26,ARI,2,0,0,0,0,0,0,0,0,0,0,0,0
691,Craig Kimbrel,36,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0
692,Bryan King,27,HOU,1,0,0,0,0,0,0,0,0,0,0,0,0
693,John King*,29,STL,1,0,0,0,0,0,0,0,0,0,0,0,0
694,Tyler Kinley,33,COL,2,0,0,0,0,0,0,0,0,0,0,0,0
695,Andrew Kittredge,34,STL,1,0,0,0,0,0,0,0,0,0,0,0,0
696,Matt Koch*,33,COL,1,0,0,0,0,0,0,0,0,0,0,0,0
697,Michael Kopech,28,CHW,1,0,0,0,0,0,0,0,0,0,0,0,0
698,Peter Lambert,27,COL,1,0,0,0,0,0,0,0,0,0,0,0,0
699,Jacob Latz,28,TEX,1,0,0,0,0,0,0,0,0,0,0,0,0
700,Derek Law,33,WSN,1,0,0,0,0,0,0,0,0,0,0,0,0
701,Justin Lawrence,29,COL,2,0,0,0,0,0,0,0,0,0,0,0,0
702,Kyle Leahy#,27,STL,1,0,0,0,0,0,0,0,0,0,0,0,0
703,José Leclerc,30,TEX,1,0,0,0,0,0,0,0,0,0,0,0,0
704,Jorge López,31,NYM,1,0,0,0,0,0,0,0,0,0,0,0,0
705,Joe Mantiply,33,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0
706,Chris Martin,38,BOS,2,0,0,0,0,0,0,0,0,0,0,0,0
707,Justin Martínez,22,ARI,2,0,0,0,0,0,0,0,0,0,0,0,0
708,James McArthur,27,KCR,2,0,0,0,0,0,0,0,0,0,0,0,0
709,Nick Mears,27,COL,1,0,0,0,0,0,0,0,0,0,0,0,0
710,Trevor Megill*,30,MIL,1,0,0,0,0,0,0,0,0,0,0,0,0
711,Julian Merryweather,32,CHC,1,0,0,0,0,0,0,0,0,0,0,0,0
712,Hoby Milner*,33,MIL,1,0,0,0,0,0,0,0,0,0,0,0,0
713,Héctor Neris,35,CHC,1,0,0,0,0,0,0,0,0,0,0,0,0
714,Joel Payamps,30,MIL,1,0,0,0,0,0,0,0,0,0,0,0,0
715,Elvis Peguero,27,MIL,1,0,0,0,0,0,0,0,0,0,0,0,0
716,Zach Penrod*,27,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0
717,Ryan Pressly,35,HOU,2,0,0,0,0,0,0,0,0,0,0,0,0
718,A.J. Puk*,29,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0
719,José Quijada*,28,LAA,1,0,0,0,0,0,0,0,0,0,0,0,0
720,David Robertson,39,TEX,2,0,0,0,0,0,0,0,0,0,0,0,0
721,Yerry Rodríguez,26,TEX,1,0,0,0,0,0,0,0,0,0,0,0,0
722,JoJo Romero*,27,STL,1,0,0,0,0,0,0,0,0,0,0,0,0
723,Paul Sewald,34,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0
724,Chase Shugart*,27,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0
725,Lucas Sims,30,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0
726,Kevin Smith,27,NYY,2,0,0,0,0,0,0,0,0,0,0,0,0
727,Ryne Stanek,32,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0
728,Albert Suárez,34,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0
729,Ryan Thompson,32,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0
730,Trent Thornton,30,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0
731,José Ureña,32,TEX,2,0,0,0,0,0,0,0,0,0,0,0,0
732,Victor Vodnik,24,COL,1,0,0,0,0,0,0,0,0,0,0,0,0
733,Austin Voth,32,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0
734,Jacob Webb,30,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0
735,Mitch White,29,MIL,1,0,0,0,0,0,0,0,0,0,0,0,0
736,Owen White,24,TEX,1,0,0,0,0,0,0,0,0,0,0,0,0
737,Justin Wilson*,36,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0
738,Josh Winckowski,26,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0
739,Kirby Yates*,37,TEX,3,0,0,0,0,0,0,0,0,0,0,0,0
740,Alex Young*,30,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0
741,Guillo Zuñiga,25,LAA,1,0,0,0,0,0,0,0,0,0,0,0,0
