Rk,Player,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO
80,Alec Burleson*,25,STL,152,595,547,71,147,20,0,21,78,9,4,35,76
81,Carlos Santana#,38,MIN,150,594,521,63,124,26,0,23,71,4,0,65,99
82,Jackson Merrill*,21,SDP,156,593,554,77,162,31,6,24,90,16,3,29,101
83,Dansby Swanson,30,CHC,149,593,534,82,129,27,2,16,66,19,3,54,144
84,Josh Smith*,26,TEX,149,592,523,67,135,30,1,13,62,11,2,46,121
85,Seiya Suzuki,29,CHC,132,585,512,74,145,27,6,21,73,16,6,63,160
86,Riley Greene*,23,DET,137,584,512,82,134,27,6,24,74,4,2,64,156
87,Ketel Marte#,30,ARI,136,583,504,93,147,23,2,36,95,7,1,65,106
88,Jake Burger,28,MIA,137,579,535,68,134,23,1,29,76,1,1,31,150
89,Jorge Soler,32,2TM,142,574,493,84,119,34,1,21,64,1,0,68,141
89,Jorge Soler,32,SFG,93,392,341,57,82,23,1,12,40,1,0,44,97
89,Jorge Soler,32,ATL,49,182,152,27,37,11,0,9,24,0,0,24,44
90,Jackson Chourio,20,MIL,148,573,528,80,145,29,4,21,79,22,7,39,121
91,Ceddanne Rafaela,23,BOS,152,571,544,70,134,23,5,15,75,19,10,15,151
92,Bryson Stott*,26,PHI,148,571,506,65,124,19,2,11,57,32,3,53,93
93,Cody Bellinger*,28,CHC,130,569,516,72,137,23,3,18,78,9,2,45,89
94,Michael Busch*,26,CHC,152,567,496,73,123,28,2,21,65,2,1,63,162
95,Matt Vierling,27,DET,144,567,518,80,133,28,5,16,57,6,1,41,121
96,Nathaniel Lowe*,28,TEX,140,565,486,62,129,16,1,16,69,2,0,71,125
97,Colton Cowser*,24,BAL,153,561,499,77,121,24,3,24,69,9,4,52,172
98,Wyatt Langford,22,TEX,134,557,499,74,126,25,4,16,74,19,3,51,115
99,Colt Keith*,22,DET,148,556,516,54,134,15,4,13,61,7,1,36,110
100,Vinnie Pasquantino*,26,KCR,131,554,496,64,130,30,2,19,97,1,0,40,71
101,Lourdes Gurriel Jr.,30,ARI,133,553,513,72,143,22,2,18,75,7,1,29,101
102,Christian Walker,33,ARI,130,552,479,72,120,26,0,26,84,2,2,55,133
103,Zack Gelof,24,OAK,138,547,497,60,105,20,2,17,49,25,3,38,188
104,Will Smith,29,LAD,128,544,476,77,118,24,2,20,75,1,1,51,105
105,Steven Kwan*,26,CLE,122,540,480,83,140,16,3,14,44,12,5,53,51
106,Brendan Rodgers,27,COL,135,539,501,67,134,29,1,13,54,1,0,31,132
107,Trea Turner,31,PHI,121,539,505,88,149,25,0,21,62,19,4,27,98
108,Justin Turner,39,2TM,139,539,460,59,119,24,0,11,55,0,2,59,95
108,Justin Turner,39,TOR,91,349,301,37,77,17,0,6,31,0,2,39,60
108,Justin Turner,39,SEA,48,190,159,22,42,7,0,5,24,0,0,20,35
109,Jesús Sánchez*,26,MIA,149,537,489,60,123,25,1,18,64,16,2,41,140
110,Ty France,29,2TM,140,535,479,46,112,24,0,13,51,1,1,38,114
110,Ty France,29,SEA,88,340,300,28,67,14,0,8,31,0,1,28,83
110,Ty France,29,CIN,52,195,179,18,45,10,0,5,20,1,0,10,31
111,Shea Langeliers,26,OAK,137,534,482,58,108,18,2,29,80,4,2,41,145
112,Corey Seager*,30,TEX,123,533,475,68,132,21,0,30,74,1,1,53,96
113,Leody Taveras#,25,TEX,151,529,480,59,110,17,3,12,44,23,6,42,112
114,Luis García Jr.*,24,WSN,140,528,500,58,141,25,1,18,70,22,5,27,86
115,Lane Thomas,28,2TM,130,528,472,65,112,26,3,15,63,32,14,44,137
115,Lane Thomas,28,WSN,77,341,300,42,76,16,3,8,40,28,12,32,72
115,Lane Thomas,28,CLE,53,187,172,23,36,10,0,7,23,4,2,12,65
116,Sal Frelick*,24,MIL,145,524,475,66,123,22,4,2,32,18,3,39,78
117,Andrew Benintendi*,29,CHW,135,522,477,50,109,20,0,20,64,3,2,41,96
118,Logan O'Hoppe,24,LAA,136,522,479,64,117,17,1,20,56,2,3,33,155
119,Jacob Young,24,WSN,150,521,468,75,120,24,1,3,36,33,10,30,102
120,Heliot Ramos,24,SFG,121,518,475,54,128,23,3,22,72,6,1,37,135
121,Rhys Hoskins,31,MIL,131,517,449,59,96,14,0,26,82,3,0,53,149
122,Mookie Betts,31,LAD,116,516,450,75,130,24,5,19,75,16,2,61,57
123,Andrew McCutchen,37,PIT,120,515,448,66,104,18,1,20,50,3,2,58,133
124,Tyler Stephenson,27,CIN,138,515,457,69,118,26,1,19,66,1,0,48,117
125,Jake Meyers,28,HOU,148,513,461,51,101,20,3,13,61,11,3,35,117
126,Daulton Varsho*,27,TOR,136,513,459,73,98,21,7,18,58,10,2,48,137
127,Joey Ortiz,25,MIL,142,511,440,58,105,25,6,11,60,11,6,56,103
128,Jesse Winker*,30,2TM,145,508,430,63,109,23,0,14,58,14,4,63,106
128,Jesse Winker*,30,WSN,101,379,315,51,81,18,0,11,45,14,4,53,84
128,Jesse Winker*,30,NYM,44,129,115,12,28,5,0,3,13,0,0,10,22
129,Ryan Mountcastle,27,BAL,124,507,473,54,128,30,2,13,63,3,0,27,114
130,Gavin Sheets*,28,CHW,139,501,451,35,105,24,1,10,45,2,2,43,106
131,Charlie Blackmon*,37,COL,124,499,449,59,115,24,5,12,52,6,2,43,86
132,Cedric Mullins*,29,BAL,147,499,444,69,104,16,3,18,54,32,6,41,98
133,Isiah Kiner-Falefa,29,2TM,133,496,465,53,125,18,4,8,43,11,2,16,78
133,Isiah Kiner-Falefa,29,TOR,83,281,257,32,75,8,2,7,33,3,1,13,37
133,Isiah Kiner-Falefa,29,PIT,50,215,208,21,50,10,2,1,10,8,1,3,41
134,J.D. Martinez,36,NYM,120,495,434,46,102,24,1,16,69,0,0,49,141
135,Jake McCarthy*,26,ARI,142,495,442,66,126,13,7,8,56,25,6,31,78
136,Ryan O'Hearn*,30,BAL,142,494,443,60,117,21,3,15,59,3,1,46,69
137,Jonah Heim#,29,TEX,131,491,459,45,101,12,1,13,59,1,1,26,90
138,Michael Conforto*,31,SFG,130,488,438,56,104,27,3,20,66,0,1,42,118
139,Gavin Lux*,26,LAD,139,487,439,59,110,24,2,10,50,5,2,44,110
140,Connor Wong,28,BOS,126,487,447,54,125,24,1,13,52,8,7,28,114
141,Keibert Ruiz#,25,WSN,127,485,459,46,105,21,0,13,57,3,1,16,54
142,José Caballero,27,TBR,139,483,441,53,100,24,1,9,44,44,16,27,133
143,Paul DeJong,30,2TM,139,482,445,54,101,17,0,24,56,2,2,23,156
143,Paul DeJong,30,CHW,102,363,337,39,77,14,0,18,41,2,1,14,112
143,Paul DeJong,30,KCR,37,119,108,15,24,3,0,6,15,0,1,9,44
144,Tommy Pham,36,3TM,116,478,440,49,109,20,3,9,39,7,3,35,106
144,Tommy Pham,36,2TM,93,401,372,42,95,17,2,7,27,7,3,28,90
144,Tommy Pham,36,CHW,70,297,271,33,72,14,1,5,19,6,3,25,63
144,Tommy Pham,36,STL,23,77,68,7,14,3,1,2,12,0,0,7,16
144,Tommy Pham,36,KCR,23,104,101,9,23,3,1,2,8,1,0,3,27
145,Brandon Marsh*,26,PHI,135,476,418,55,104,17,3,16,60,19,3,50,154
146,Josh Rojas*,30,SEA,142,476,422,48,95,19,2,8,31,10,4,46,108
147,Mike Yastrzemski*,33,SFG,140,474,428,60,99,16,9,18,57,3,2,38,124
