"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Meyers, Jake",676694,"HOU","SI","Sinker",-0.1,0,"176",18.5,"59","0.357","0.446","0.375",5.6,11.9,30.4,"0.295","0.404","0.318",46
"Contreras, Willson",575929,"STL","SL","Slider",1.1,2,"205",17.8,"59","0.288","0.462","0.367",34.8,20.3,15.8,"0.288","0.554","0.396",36.6
"Herrera, Iván",671056,"STL","FF","4-Seam Fastball",1.6,3,"216",30.6,"59","0.327","0.423","0.367",12.9,18.6,13.3,"0.276","0.462","0.349",42.9
"Myers, Dane",667472,"MIA","FF","4-Seam Fastball",0.4,1,"201",36.2,"59","0.309","0.491","0.368",24.1,25.4,24.6,"0.303","0.462","0.353",57.5
"Ortiz, Joey",687401,"MIL","SI","Sinker",-1,-2,"197",20.4,"59","0.231","0.269","0.268",5.9,13.6,17,"0.299","0.353","0.321",39.1
"Sánchez, Jesús",660821,"MIA","FF","4-Seam Fastball",-0.6,-2,"314",37.5,"59","0.222","0.463","0.31",28.1,23.7,16.7,"0.278","0.566","0.374",56.1
"Turner, Trea",607208,"PHI","SI","Sinker",1.8,4,"197",15.7,"58","0.34","0.472","0.426",12.5,5.2,10,"0.31","0.431","0.363",50
"Donovan, Brendan",680977,"STL","SI","Sinker",-2.2,-5,"226",20,"58","0.157","0.255","0.228",9.6,17.2,16.9,"0.23","0.331","0.3",38.1
"Marte, Ketel",606466,"AZ","FF","4-Seam Fastball",3.8,8,"218",27.4,"58","0.383","0.787","0.532",16.3,13.8,17.4,"0.41","0.895","0.577",56.4
"Baldwin, Brooks",681460,"CWS","FF","4-Seam Fastball",-2.4,-6,"245",43.8,"58","0.151","0.245","0.207",27,32.8,27.1,"0.183","0.351","0.259",40
"Kiner-Falefa, Isiah",643396,"PIT","FF","4-Seam Fastball",1.2,3,"212",25.5,"58","0.4","0.48","0.414",13.2,13.8,13.1,"0.349","0.431","0.382",34.1
"Alonso, Pete",624413,"NYM","SL","Slider",1.2,3,"226",16.3,"58","0.261","0.522","0.393",31.5,24.1,18.2,"0.29","0.571","0.42",42.4
"Lee, Brooks",686797,"MIN","FF","4-Seam Fastball",2,4,"216",24.1,"58","0.365","0.615","0.436",14.5,19,17.7,"0.271","0.533","0.376",52.4
"Devers, Rafael",646240,"SF","SI","Sinker",-1.8,-4,"206",14.1,"58","0.156","0.178","0.259",22.7,22.4,21,"0.205","0.242","0.312",51.5
"Chourio, Jackson",694192,"MIL","SL","Slider",1.4,3,"191",16.5,"58","0.259","0.593","0.393",33.3,20.7,20.3,"0.225","0.434","0.306",26.2
