"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Wagaman, Eric","676572","259","10.2",34,"113.5","90.9","101.9","94.1","89.4","427","158","415","119",45.9,"15",5.8,4.3
"Butler, Lawrence","671732","259","6.8",33.6,"113.6","91","102.1","96.4","86.2","435","159","419","115",44.6,"23",8.9,5.6
"García, Adolis","666969","258","19.1",33.7,"113.6","92.9","102.4","94.9","91.8","431","196","404","126",48.8,"35",13.6,9.3
"Devers, Rafael","646240","258","12.5",34.9,"112.1","93.5","103.9","96.5","91.7","442","172","398","144",55.8,"40",15.5,8.9
"Holliday, Jackson","702616","258","8.2",35.3,"109.6","90.1","100.9","94.5","86.2","430","158","401","116",45.1,"28",10.9,7.4
"Volpe, Anthony","683011","257","11.3",31.1,"110.5","89.2","100.5","94.3","85.7","424","166","374","109",42.4,"25",9.7,6.4
"Hayes, Ke'Bryan","663647","257","9.6",28.8,"109.7","90.3","100.5","93.7","89","413","141","381","117",45.7,"14",5.4,4
"Rengifo, Luis","650859","257","5.4",34.6,"109.2","87.7","98.2","91.4","85.4","419","134","396","89",34.6,"11",4.3,3.3
"Lopez, Otto","672640","256","9.1",33.2,"109.9","88.2","99.3","92.4","84.9","429","157","397","92",36.2,"21",8.2,6.3
"Adames, Willy","642715","255","20.7",31.4,"109.9","89.4","100.2","94.7","81.8","452","189","406","113",44.5,"32",12.5,7.8
"Burleson, Alec","676475","255","17.4",32.9,"111.1","91.1","101.4","93","90.5","435","176","403","109",43.4,"23",9,7.2
"Reynolds, Bryan","668804","255","6.6",39.2,"112.3","91.5","102.6","95.9","86.3","421","166","398","123",48.2,"29",11.4,7.4
"Larnach, Trevor","663616","252","11.3",34.1,"111.8","90.8","101.4","93.1","89.1","434","165","401","110",43.8,"20",7.9,5.4
"Sheets, Gavin","657757","252","14.8",42.1,"111.8","91.4","101.5","96.1","87.2","439","185","403","128",50.8,"26",10.3,7.4
"Flores, Wilmer","527038","251","18",34.7,"108.6","84.8","95.4","88.6","81.9","399","160","378","61",24.3,"10",4,2.9
"Smith, Josh","669701","251","14.2",34.3,"108.2","87.8","97.8","90.9","85.3","409","160","395","83",33.2,"13",5.2,3.8
"Suárez, Eugenio","553993","251","23.2",31.9,"111.8","90.9","101.6","95.1","85.5","466","205","411","124",50,"34",13.5,8.6
"Henderson, Gunnar","683002","251","10.8",29.1,"113.3","93","103.8","94.9","93.8","405","154","388","130",52.6,"21",8.4,5.6
"Nootbaar, Lars","663457","250","18",34,"113","91.8","102.2","95.7","89.4","418","182","388","129",51.6,"26",10.4,6.7
"Santana, Carlos","467793","250","16.3",30.8,"113.2","88.3","100.3","93.2","87.3","418","160","382","102",41,"15",6,4.1
"Judge, Aaron","592450","248","18.2",37.5,"118.1","95.3","106.7","98.8","90.2","469","206","404","141",56.9,"65",26.2,15
"Ortiz, Joey","687401","248","13.6",27,"109.8","86","98.2","90","85.7","406","145","383","83",34,"9",3.6,2.8
"Walker, Christian","572233","247","16.9",34.4,"112.8","90.4","102.2","93.7","87.5","417","178","392","111",45.3,"28",11.3,7.3
"Raleigh, Cal","663728","247","24.8",34.4,"114.7","91.8","102.9","97.1","85","440","212","386","120",49,"49",19.8,11.6
"Contreras, Willson","575929","247","11",39.7,"114.7","90","103","95.3","84.2","432","174","404","115",46.9,"34",13.8,8.8
"Yelich, Christian","592885","245","1.6",30.2,"113.4","90.2","102.4","95.6","87.6","465","130","398","113",46.5,"21",8.6,5.4
"Greene, Riley","682985","245","14.7",39.6,"115.1","90.3","102.9","94.6","85.5","436","182","393","114",46.9,"44",18,11
"Steer, Spencer","668715","244","17.7",35.2,"106.5","86.9","97.3","90.5","83.4","403","166","379","74",30.5,"13",5.3,3.7
"Arozarena, Randy","668227","243","13.3",34.6,"112.3","91.8","102.6","95.8","89.7","435","172","395","125",52.1,"29",11.9,7
"Wood, James","695578","243","6.1",34.2,"117.9","93.6","106.6","99.1","88.7","451","164","411","135",55.6,"45",18.5,10.6
"Correa, Carlos","621043","243","7.7",30.5,"112.6","90.6","102.2","94.6","88.8","458","145","412","110",45.6,"15",6.2,4.6
"Torkelson, Spencer","679529","241","21.4",40.2,"110.5","90.4","100.6","94.9","83.9","436","204","396","105",44.1,"36",14.9,9.3
"Freeman, Freddie","518692","241","14.4",38.2,"111.6","91","100.7","93.6","88.4","421","176","410","110",45.8,"22",9.1,6.1
"Schwarber, Kyle","656941","241","18.7",35.7,"116.7","94.1","105.3","98.3","89.1","466","198","410","141",58.5,"44",18.3,10.2
"Springer, George","543807","238","16.6",40.3,"112.3","90","101.3","95.2","83.9","435","181","409","110",46.4,"36",15.1,10
"Kiner-Falefa, Isiah","643396","236","3.4",30.9,"105.5","85","95.5","89.6","83","391","120","382","59",25,"4",1.7,1.3
"Meyers, Jake","676694","235","10.4",36.2,"110.4","88.3","99.3","90.6","87.1","409","150","378","91",38.7,"12",5.1,3.7
"Lowe, Brandon","664040","235","14.5",38.3,"112.2","92.2","101.9","95.6","89.3","431","177","400","109",46.8,"31",13.2,8.9
"Aranda, Jonathan","666018","235","14.9",41.3,"111.4","93.2","102.9","95.9","91","467","178","397","130",56,"29",12.3,8
"Ozuna, Marcell","542303","235","14.5",34.9,"112.1","91.3","102.2","95.4","86.9","464","177","414","116",49.4,"26",11.1,6.7
"Bell, Josh","605137","234","9.4",30.3,"113.3","89.8","102.2","96.1","85.2","433","159","398","103",44.2,"24",10.3,7.3
"McCutchen, Andrew","457705","233","14.1",32.6,"110.2","89.5","100.4","93.9","87.3","417","165","392","104",44.6,"22",9.4,6.3
"Carroll, Corbin","682998","231","16.7",32.5,"115.8","93","104.2","97.2","89.2","438","191","403","117",50.9,"35",15.2,9.6
"Ruiz, Keibert","660688","230","11.3",31.3,"110.4","86.2","96.1","88.6","86.5","414","145","393","71",30.9,"5",2.2,1.9
"Goodman, Hunter","696100","230","17.3",31.3,"116.2","91.8","103.3","96.1","88.4","443","183","404","118",51.3,"29",12.6,8.4
"Ramírez, Agustín","682663","230","7.7",31.3,"116.9","92.1","104.6","97.2","88.6","447","158","414","111",48.7,"28",12.2,9.2
"Polanco, Jorge","593871","229","15.2",31.9,"111.9","90.8","101.9","94.4","89.9","423","160","388","105",45.9,"22",9.6,7.5
"Espinal, Santiago","669289","228","14",30.7,"107.4","86.5","96","89.1","85.9","375","150",,"60",26.3,"2",0.9,0.7
"Lee, Brooks","686797","228","14.1",30.3,"110.3","88.8","98.5","91.8","86.4","401","164","376","88",39.1,"14",6.1,4.7
"Realmuto, J.T.","592663","226","8.6",37.2,"110","90.2","101.3","94.8","86.8","418","154","403","102",45.3,"18",8,5.5
"Meidroth, Chase","805367","225","8.6",28,"107.1","88.1","97.7","91.2","86.7","386","137","371","82",36.4,"2",0.9,0.7
"O'Hearn, Ryan","656811","225","10.4",36.9,"109.4","91.2","100.8","94.3","87.9","406","165","392","107",48.2,"20",8.9,6.2
"Busch, Michael","683737","224","16.6",41.1,"111.9","91.7","101.4","94.5","87.3","442","197","396","106",47.3,"36",16.1,10.4
"Doyle, Brenton","686668","223","11.3",34.5,"111.3","90.2","101.3","94.6","86.1","431","172","399","102",45.7,"27",12.1,8.1
"McLain, Matt","680574","223","16.8",35.4,"109.9","89","99.4","93.9","84.5","414","181","389","93",41.7,"16",7.2,4.4
"Neto, Zach","687263","223","15.6",40.4,"111.3","91.4","101.8","96.5","85.9","447","178","406","105",47.3,"32",14.3,9.6
"McKinstry, Zach","656716","223","14.8",43.9,"108.7","85.8","97.4","90.7","81.4","385","167","372","72",32.4,"15",6.7,4.5
"Beck, Jordan","687597","222","14.7",36.5,"113.8","88.5","100.8","95.1","80.5","437","174","413","90",41.3,"25",11.3,7.3
"Sosa, Lenyn","672820","222","19.3",39.6,"111.5","90.9","100.7","93.9","86.9","440","197","400","95",43,"19",8.6,6.3
"Hernández, Teoscar","606192","222","10",36.5,"112.5","90.1","102.1","94.8","85.3","436","167","392","101",45.7,"26",11.7,8.3
"Edman, Tommy","669242","222","11",35.6,"108.6","87.7","99.2","91.5","85.7","423","155","400","85",38.5,"11",5,3.7
