"id","name","api_pitch_type_group03","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
669004,"Melendez, MJ","FC",9,0.2222222222222222,0.7777777777777777,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.3333333333333333,0.3333333333333333
681082,"Stott, Bryson","ST",8,0.375,0.625,0.25,0.25,0.125,0.5,0.25,0.25,0.25,0,0.125,0.25,0.25,0.125
657757,"Sheets, Gavin","FC",5,0.2,0.8,0.4,0.2,0.2,0.8,0,0.2,0.2,0,0,0.6000000000000001,0,0.2
662139,"Varsho, Daulton","FS",1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
666139,"Lowe, Josh","FC",2,1,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0
666181,"Benson, Will","SI",19,0.5789473684210527,0.42105263157894735,0.2631578947368421,0.15789473684210525,0,0.3684210526315789,0.42105263157894735,0.21052631578947367,0.3157894736842105,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.21052631578947367,0.15789473684210525
671732,"Butler, Lawrence","FF",18,0.5555555555555556,0.4444444444444444,0.2222222222222222,0.2222222222222222,0,0.2777777777777778,0.3888888888888889,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.11111111111111113,0.16666666666666669,0.16666666666666666
670770,"Friedl, TJ","FF",10,0.2,0.8,0.2,0.4,0.2,0.5,0.3,0.2,0,0.2,0,0.5,0.09999999999999998,0.2
686469,"Pasquantino, Vinnie","SL",11,0.36363636363636365,0.6363636363636365,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.5454545454545454,0.09090909090909091,0,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.2727272727272727
665742,"Soto, Juan","SV",2,0.5,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0,0
453568,"Blackmon, Charlie","CU",4,0.5,0.5,0.25,0.25,0,0.5,0.25,0.25,0.5,0,0,0,0.25,0.25
680977,"Donovan, Brendan","ST",13,0.23076923076923078,0.7692307692307693,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.38461538461538464,0.38461538461538464,0.23076923076923078,0.15384615384615385,0.07692307692307693,0,0.23076923076923078,0.3076923076923077,0.23076923076923078
694384,"Schanuel, Nolan","SI",33,0.7575757575757576,0.24242424242424243,0.09090909090909091,0.15151515151515152,0,0.42424242424242425,0.3333333333333333,0.24242424242424243,0.42424242424242425,0.2727272727272727,0.06060606060606061,0,0.06060606060606061,0.18181818181818182
