"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Soto, Gregory",642397,"NYM","SI","Sinker",0.7,2,"323",51.9,"77","0.217","0.267","0.327",19.4,15.6,19.4,"0.234","0.324","0.337",44.9
"Roupp, Landen",694738,"SF","CH","Changeup",0.1,0,"287",16.7,"77","0.2","0.286","0.258",30.1,24.7,16,"0.23","0.385","0.294",40.4
"Junis, Jakob",596001,"CLE","SL","Slider",1.4,5,"335",47.1,"77","0.205","0.274","0.226",29.7,26,19.2,"0.224","0.339","0.257",29.6
"Bellozo, Valente",678368,"MIA","FC","Cutter",-1,-3,"308",35.4,"77","0.353","0.574","0.423",16.7,13,16.4,"0.292","0.51","0.373",40.7
"Rodríguez, Randy",678495,"SF","FF","4-Seam Fastball",1.1,4,"374",54.7,"77","0.171","0.243","0.233",28.6,35.1,23.5,"0.188","0.303","0.253",40.9
"Uceta, Edwin",670955,"TB","FF","4-Seam Fastball",-0.1,0,"290",37.9,"77","0.179","0.448","0.316",36.1,41.6,28.8,"0.192","0.447","0.323",51.4
"Festa, David",701581,"MIN","FF","4-Seam Fastball",-1.4,-4,"280",31.7,"76","0.344","0.609","0.449",14.1,11.8,16.1,"0.319","0.579","0.427",46.4
"Sánchez, Cristopher",650911,"PHI","SL","Slider",0.6,2,"298",16.3,"76","0.197","0.408","0.278",34.3,23.7,20,"0.236","0.458","0.314",37
"Okert, Steven",595345,"HOU","FF","4-Seam Fastball",0.7,2,"290",43,"76","0.246","0.354","0.314",24.8,21.1,25.8,"0.241","0.427","0.334",33.3
"Cantillo, Joey",676282,"CLE","CH","Changeup",0.1,0,"320",34.4,"76","0.2","0.308","0.291",48.3,31.6,24.5,"0.203","0.272","0.267",26.2
