"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Ryan, Joe","657746","274","18.6",32.1,"115.3","90","79.9","93.4","87.5","413","178","384","111",40.5,"29",10.6,6.8
"Allen, Logan","671106","273","13.4",30,"113.5","87.9","76.4","93","84.5","441","155","400","95",34.8,"27",9.9,7
"May, Dustin","669160","273","12.9",33.7,"113.5","90.6","79.6","93.9","88.3","455","168","411","119",43.6,"24",8.8,5.9
"Cease, Dylan","656302","273","16.3",37.7,"112.9","89.3","78.1","93.3","86","434","182","381","115",42.1,"28",10.3,6.3
"Patrick, Chad","694477","271","19",40.2,"117.7","90.1","79.4","93","88.8","416","190","396","119",43.9,"21",7.7,5.3
"Mize, Casey","663554","269","13.6",34.9,"113.4","89.8","79.6","93","87.6","442","173","394","109",40.5,"23",8.6,6.2
"Priester, Quinn","682990","269","4.4",25.7,"111.3","90.2","80.1","95.1","87.4","418","130","392","113",42,"19",7.1,5.1
"Holmes, Grant","656550","269","9.8",37.2,"114.8","89.8","79.4","93.2","86.4","443","167","414","112",41.6,"28",10.4,6.3
"Williams, Gavin","668909","267","11.5",34.5,"115","89.9","79.6","94.5","85.8","445","167","400","109",40.8,"24",9,5.7
"Brown, Hunter","686613","267","11.2",32.2,"114.3","86.2","73.9","91.6","82.7","426","153","392","86",32.2,"17",6.4,3.9
"Yamamoto, Yoshinobu","808967","262","7.5",28.6,"117.6","89.3","78","92.5","87.6","425","141","400","105",40.1,"17",6.5,4.1
"Warren, Will","701542","261","11.6",35.2,"113.6","91.1","80.8","94.6","88.5","428","157","398","121",46.4,"23",8.8,5.5
"Abbott, Andrew","671096","261","19.9",34.5,"111.1","88.3","78.6","91.5","84.8","437","190","393","86",33,"20",7.7,5.4
"Martin, Davis","663436","258","10.5",35.3,"114.7","91","80.1","94.1","89.9","423","155","391","119",46.1,"27",10.5,8.1
"Quantrill, Cal","615698","257","16",40.5,"111.8","90.2","79.5","94.6","86","433","187","401","111",43.2,"28",10.9,8
"Rodriguez, Eduardo","593958","255","18",36.1,"111.7","88.8","77.9","92.6","87.1","438","175","400","90",35.3,"23",9,6.1
"Elder, Bryce","693821","255","6.2",33.3,"117.6","89.7","77.2","95.3","84.5","445","154","401","119",46.7,"25",9.8,7
"Flaherty, Jack","656427","253","18.8",39.5,"113.8","90","79","93.9","85","440","187","394","112",44.3,"29",11.5,6.9
"Rasmussen, Drew","656876","252","8",29,"115.6","91.1","81","93.9","90.4","414","142","380","113",44.8,"15",6,4.2
"Smith, Shane","681343","249","12.7",36.1,"116.3","90.2","78.8","92.7","88.1","421","169","393","115",46.2,"17",6.8,4.5
"Buehler, Walker","621111","248","10.7",33.5,"113.2","87.6","75.3","92.6","84","428","159","394","95",38.3,"24",9.7,6.8
"Cannon, Jonathan","686563","247","16.4",36,"113.3","89.8","78.6","94.4","86.4","419","174","383","112",45.3,"24",9.7,7
"Hancock, Emerson","676106","247","14.1",34.4,"112.3","89","77.8","93","86.4","434","161","391","103",41.7,"20",8.1,6
"Morton, Charlie","450203","246","11.4",32.5,"112.1","90.6","80.9","93.2","88.1","419","171","394","99",40.2,"19",7.7,5
"Ortiz, Luis L.","682847","243","9.4",32.9,"114.6","91.8","81.2","95.7","88.9","422","160","383","116",47.7,"25",10.3,6.5
"Verlander, Justin","434378","241","17.6",40.2,"112.1","89.4","79.3","93.1","85.1","428","186","394","96",39.8,"25",10.4,7.4
"Leiter, Jack","683004","237","15.9",33.3,"111.7","91.3","81.5","93.5","89.1","479","176","397","106",44.7,"27",11.4,7.8
"Brown, Ben","676962","237","13.5",36.3,"113.3","92.5","83","95.4","90.6","431","171","400","114",48.1,"28",11.8,7.8
"Eovaldi, Nathan","543135","234","7.5",33.3,"111.7","89","77.8","93.6","85.7","415","140","384","88",37.6,"18",7.7,5.2
"Spence, Mitch","687765","233","13.7",37.8,"113.1","90.4","79.9","93.8","88.3","439","171","403","98",42.1,"32",13.7,9.9
"Suárez, Ranger","624133","231","10.8",29.9,"110.8","84.4","72","89.2","83.6","451","145","409","64",27.7,"12",5.2,3.6
"Gusto, Ryan","687473","226","17.7",32.7,"113.8","90.4","80","93.6","88.1","408","178","385","99",43.8,"20",8.8,6.1
"Cabrera, Edward","665795","226","9.9",30.5,"116.7","90.1","79.2","94.6","85.6","451","166","388","102",45.1,"17",7.5,4.9
"Mahle, Tyler","641816","225","13.9",36.4,"111.5","88.6","77.7","93.9","83.5","422","171","384","85",37.8,"17",7.6,5.5
"Canning, Griffin","656288","223","7.8",31.8,"113.8","91.2","81","95","89.4","432","154","377","102",45.7,"21",9.4,6.4
"Quintana, Jose","500779","223","13.4",32.7,"112.3","88.9","78","93.4","85.7","433","158","394","90",40.4,"17",7.6,5.6
"Sale, Chris","519242","223","12.6",33.6,"116.7","86.5","74.7","90.6","82.7","462","166","397","71",31.8,"17",7.6,4.6
"Nelson, Ryne","669194","223","13.7",35.9,"115","90.9","81.2","94.6","88.5","447","175","397","94",42.2,"20",9,6.3
"Dollander, Chase","801403","222","11.7",36.9,"111.6","89.2","78","94.4","84.5","435","174","410","91",41,"29",13.1,9.4
"Woods Richardson, Simeon","680573","220","21.3",35.9,"115.3","89.7","79.3","94.6","85.8","450","190","405","90",40.9,"24",10.9,7.7
"Eflin, Zach","621107","214","10.7",33.2,"111.1","89.5","78.8","93.3","85.6","467","169","383","85",39.7,"19",8.9,7.1
"Schmidt, Clarke","657376","212","19.6",32.5,"112.5","88.1","77.1","93.3","82.2","433","186","391","75",35.4,"14",6.6,4.4
"Kolek, Stephen","663568","210","8.4",32.4,"111.9","91.5","80.9","93.5","90.2","409","155","379","102",48.6,"13",6.2,4.5
"Giolito, Lucas","608337","210","16.7",39,"113","90.7","80.4","93.4","89.4","424","175","393","93",44.3,"16",7.6,5.4
"Montero, Keider","672456","207","12.7",35.7,"111.6","88.1","77","93.6","82.5","427","167","391","74",35.7,"18",8.7,6.5
"Senga, Kodai","673540","203","13.6",26.6,"114.7","88.5","77.2","92.5","86.9","421","151","400","80",39.4,"13",6.4,4.2
"Francis, Bowden","670102","201","20.7",34.3,"113.1","91.6","81.1","95.2","89","426","187","386","105",52.2,"25",12.4,8.7
"Imanaga, Shota","684007","199","22.5",34.2,"111.1","90.3","80.8","94.1","86","419","204","387","78",39.2,"20",10.1,7.6
"Cameron, Noah","702070","195","12.4",26.7,"117.9","89.2","78.5","94","87","469","154","426","79",40.5,"11",5.6,4
"Meyer, Max","676974","195","8.7",30.3,"112.7","91.9","82","95.1","89.7","429","151","391","94",48.2,"18",9.2,6.3
"Newcomb, Sean","656794","194","11.1",33,"113.2","90.1","79.5","93.5","88","430","154","397","87",44.8,"13",6.7,4.5
"Povich, Cade","700249","193","12.8",40.4,"112.1","91.9","81.7","96.1","87.5","458","183","414","99",51.3,"26",13.5,9.1
"Mlodzinski, Carmen","669387","192","11.8",38.5,"113.7","91.2","81","94.3","88.8","436","163","410","84",43.8,"15",7.8,5.9
"Dobbins, Hunter","690928","192","9.5",31.8,"111.3","89.3","77.9","94.3","85.5","436","151","393","80",41.7,"13",6.8,5.1
"Alexander, Tyler","641302","190","15.4",36.8,"114.3","88.2","76.8","90.9","86.4","432","170","410","73",38.4,"11",5.8,4.3
"Casparius, Ben","676508","189","19.6",33.3,"111.6","87.9","77.5","91.7","83.9","430","186","386","65",34.4,"16",8.5,6.1
"Lord, Brad","695418","189","10.1",36.5,"115.3","88.8","77.1","92","86.6","415","154","386","77",40.7,"9",4.8,3.3
"Birdsong, Hayden","806185","187","20",35.8,"113","89.8","79.1","93.9","86.6","443","183","402","87",46.5,"18",9.6,6.2
"Soroka, Michael","647336","182","14.3",26.4,"111.6","90.1","80","94.3","86.6","415","165","378","75",41.2,"13",7.1,4.6
"Bido, Osvaldo","674370","180","17.8",32.2,"114.7","90.5","80.4","93.7","86.2","422","192","407","75",41.7,"18",10,7.4
"Horton, Cade","690990","179","10.1",33.5,"116","89.9","78.9","93.4","86.7","407","158","390","76",42.5,"22",12.3,8.9
"Walker, Taijuan","592836","178","13.4",30.9,"111.3","88.3","77.4","93.3","84.8","452","158","392","67",37.6,"9",5.1,3.6
"Vasil, Mike","678024","178","10.6",33.1,"111.1","88.7","77.6","93.3","86.5","434","155","395","69",38.8,"14",7.9,5.3
"Megill, Tylor","656731","176","14.8",30.1,"114.7","90.3","79.6","93.6","88.8","409","160","392","77",43.8,"11",6.3,3.6
"Civale, Aaron","650644","175","21",34.9,"113.1","88.6","77.1","92.8","84.2","418","191","390","72",41.1,"19",10.9,8.1
"Gordon, Colton","676467","174","17.8",36.8,"111.5","89.2","78.4","93.7","85.3","431","177","389","67",38.5,"16",9.2,7
"Burnes, Corbin","669203","173","6.6",33.5,"113.4","89.5","78","94.5","86.4","448","144","410","72",41.6,"14",8.1,5.3
"López, Pablo","641154","169","15.1",35.5,"116.5","88","76.7","92.3","85","414","166","407","55",32.5,"10",5.9,4
"Wilson, Bryse","669060","169","16.5",39.1,"114.3","91.1","80.1","92.6","90.7","417","178","396","76",45,"17",10.1,7.8
"Houser, Adrian","605288","169","10",34.9,"112","89.7","78.8","92.6","89","396","145","377","75",44.4,"8",4.7,3.5
"Hicks, Jordan","663855","163","4.5",29.4,"115.2","89.5","78.3","93","88.2","423","125","378","71",43.6,"7",4.3,3
"Evans, Logan","688138","162","12.4",39.5,"112.8","90.9","80.4","92.3","89.1","448","178","393","73",45.1,"16",9.9,7.5
"Rocker, Kumar","677958","161","9",35.4,"113.3","91.5","80.5","94.6","89.5","440","163","413","78",48.4,"21",13,9.4
"Olson, Reese","681857","160","11.5",34.4,"112.7","91.4","81.7","92.6","91.2","418","158","395","72",45,"11",6.9,4.6
"Yarbrough, Ryan","642232","158","16.2",39.9,"112.9","86.3","74.8","88.8","84.2","440","177","386","51",32.3,"8",5.1,3.5
"Hanifee, Brenan","669724","158","4.2",30.4,"115.2","90.2","79.5","94.9","87.3","406","135","382","71",44.9,"10",6.3,5
"Bellozo, Valente","678368","158","23.9",29.1,"112.6","89.1","78.6","93.3","85.8","425","188","378","59",37.3,"12",7.6,5.7
"Kershaw, Clayton","477132","156","12.1",32.7,"112.7","90.3","79.7","94.7","87.6","418","155","403","71",45.5,"8",5.1,3.9
"Cecconi, Slade","677944","156","15.9",43.6,"111.9","91.6","81.7","94.2","89.6","410","189","391","76",48.7,"19",12.2,8.2
"Matz, Steven","571927","155","11.1",30.3,"110.9","89.4","78.2","94.5","87.1","435","149","392","67",43.2,"8",5.2,3.8
"Junk, Janson","676083","154","15",32.5,"111.6","92","82","94.5","90.9","438","162","438","74",48.1,"9",5.8,4.6
"Strider, Spencer","675911","153","14.6",36.6,"113.7","92.1","82.2","95.2","89.7","445","183","409","64",41.8,"14",9.2,5.5
"Herget, Jimmy","623474","152","16.3",36.2,"109.9","89.7","79.3","94.2","85.5","432","179","404","59",38.8,"10",6.6,4.7
"Miller, Bryce","682243","151","16.6",37.7,"117","91.1","80.8","93.5","89.5","416","173","381","67",44.4,"10",6.6,4.6
"Kirby, George","669923","151","13.6",33.8,"113.3","90.2","80.2","92","89.4","435","165","401","65",43,"13",8.6,5.9
